epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,47.7346,0.50666,0.8208,0.38964,0.95835,1,0.99626,0.995,0.92723,1,0.99626,0.995,0.88399,0.3416,0.75676,0.27077,0.76135,0.0005645,0.0005645,0.0005645
31,49.7085,0.39564,0.69617,0.27092,0.91254,1,0.99595,0.995,0.91905,1,0.99595,0.995,0.88248,0.35776,0.80378,0.2485,0.7712,0.000515,0.000515,0.000515
32,51.2428,0.41441,0.71249,0.28087,0.91111,1,0.99664,0.995,0.9236,1,0.99664,0.995,0.8729,0.34583,0.82736,0.22661,0.763,0.0004655,0.0004655,0.0004655
33,52.7604,0.38624,0.68165,0.27034,0.89262,1,0.99361,0.995,0.9233,1,0.99361,0.995,0.88125,0.32866,0.78173,0.213,0.73695,0.000416,0.000416,0.000416
34,54.2961,0.37221,0.65424,0.24389,0.88848,1,0.99464,0.995,0.95272,1,0.99464,0.995,0.8682,0.32578,0.78029,0.20962,0.74213,0.0003665,0.0003665,0.0003665
35,55.8179,0.41046,0.71218,0.26158,0.931,1,0.99463,0.995,0.93165,1,0.99463,0.995,0.89313,0.32075,0.76421,0.20504,0.74231,0.000317,0.000317,0.000317
36,57.3976,0.36658,0.6852,0.25934,0.8942,1,0.99461,0.995,0.9281,1,0.99461,0.995,0.91489,0.30644,0.7764,0.2171,0.74018,0.0002675,0.0002675,0.0002675
37,58.9591,0.39051,0.67901,0.262,0.90423,1,0.99435,0.995,0.932,1,0.99435,0.995,0.88307,0.31384,0.78669,0.21908,0.74333,0.000218,0.000218,0.000218
38,60.5069,0.36931,0.64994,0.2495,0.90345,1,0.99431,0.995,0.93304,1,0.99431,0.995,0.89677,0.30303,0.78383,0.21116,0.74279,0.0001685,0.0001685,0.0001685
39,62.0322,0.37307,0.64865,0.23623,0.92006,1,0.99432,0.995,0.92714,1,0.99432,0.995,0.90153,0.30971,0.78816,0.20698,0.73958,0.000119,0.000119,0.000119
40,63.5575,0.36646,0.67276,0.23731,0.89776,1,0.99416,0.995,0.9296,1,0.99416,0.995,0.9017,0.31348,0.78433,0.20383,0.74034,6.95e-05,6.95e-05,6.95e-05
