epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,68.1323,1.20831,0.56731,0.82684,0.97176,1,0.995,0.60015,1.32501,0.55786,0.88707,0.000973861,0.000973861,0.000973861
44,69.7398,1.22435,0.56441,0.82259,0.97884,1,0.995,0.58343,1.3407,0.60071,0.89009,0.000957358,0.000957358,0.000957358
45,71.2988,1.18218,0.56614,0.82618,0.99559,1,0.995,0.60412,1.4251,0.68296,0.96859,0.000940855,0.000940855,0.000940855
46,72.8653,1.22716,0.58929,0.82877,0.98304,0.97027,0.99375,0.63963,1.2419,0.57839,0.87453,0.000924352,0.000924352,0.000924352
47,74.4908,1.1719,0.53472,0.82712,0.97897,1,0.995,0.60661,1.35454,0.58492,0.88767,0.000907848,0.000907848,0.000907848
48,76.0465,1.07154,0.52229,0.81963,1,0.98032,0.995,0.58456,1.42218,0.64163,0.90252,0.000891345,0.000891345,0.000891345
49,77.6568,1.14977,0.52358,0.8149,0.94879,0.97368,0.96612,0.59679,1.37791,0.64375,0.90437,0.000874842,0.000874842,0.000874842
50,79.2884,1.11863,0.54142,0.82554,0.9422,0.97368,0.96861,0.58162,1.5461,0.66353,0.89994,0.000858338,0.000858338,0.000858338
51,80.869,1.19508,0.55188,0.82908,0.99048,1,0.995,0.62794,1.35406,0.57011,0.89105,0.000841835,0.000841835,0.000841835
52,82.4066,1.12748,0.52877,0.82643,0.97909,0.99945,0.995,0.60775,1.27877,0.55555,0.88339,0.000825332,0.000825332,0.000825332
53,83.9508,1.16177,0.51251,0.82543,0.98153,0.99781,0.995,0.64154,1.29444,0.53531,0.88461,0.000808828,0.000808828,0.000808828
54,85.519,1.18512,0.5475,0.81313,0.99135,1,0.995,0.6694,1.29574,0.51324,0.89353,0.000792325,0.000792325,0.000792325
55,87.1346,1.15427,0.52494,0.81058,0.99698,1,0.995,0.57719,1.55609,0.5898,0.92761,0.000775822,0.000775822,0.000775822
56,88.7832,1.18661,0.53922,0.82156,0.99259,1,0.995,0.61857,1.41041,0.55917,0.90871,0.000759318,0.000759318,0.000759318
57,90.396,1.14048,0.52145,0.82734,0.99663,1,0.995,0.59019,1.46381,0.62636,0.9279,0.000742815,0.000742815,0.000742815
58,92.0014,1.0664,0.49064,0.80845,0.99362,1,0.995,0.68213,1.30205,0.52748,0.88214,0.000726312,0.000726312,0.000726312
59,93.6137,1.10835,0.48813,0.81838,0.99496,1,0.995,0.61921,1.43654,0.54697,0.90275,0.000709809,0.000709809,0.000709809
60,95.2095,1.07523,0.49957,0.81397,0.99313,1,0.995,0.63591,1.33506,0.5412,0.89682,0.000693305,0.000693305,0.000693305
61,96.7647,1.08191,0.49055,0.81154,0.99433,1,0.995,0.66744,1.32546,0.53732,0.90593,0.000676802,0.000676802,0.000676802
62,98.3909,1.1351,0.48376,0.80327,0.99457,1,0.995,0.68361,1.29278,0.50117,0.88248,0.000660299,0.000660299,0.000660299
63,99.9786,1.0744,0.48761,0.81886,0.99574,1,0.995,0.66123,1.29195,0.51801,0.8891,0.000643795,0.000643795,0.000643795
