epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,420.02,1.11671,2.61521,0.67262,0.98117,0.74926,0.54755,0.62947,0.38478,0.62967,0.42955,0.48027,0.23122,1.26292,3.0105,0.77012,1.02821,0.0014258,0.0014258,0.0014258
31,433.057,1.11801,2.60887,0.66749,0.97654,0.77696,0.53633,0.62174,0.38387,0.67722,0.43852,0.49959,0.2396,1.24136,3.02435,0.75234,1.03399,0.001406,0.001406,0.001406
32,446.992,1.09863,2.59469,0.66085,0.97683,0.74629,0.5245,0.61537,0.3766,0.66103,0.398,0.47281,0.22316,1.28005,3.05928,0.78796,1.0412,0.0013862,0.0013862,0.0013862
33,460.486,1.10576,2.60236,0.66442,0.97909,0.76977,0.54118,0.62912,0.39015,0.68649,0.41382,0.48704,0.23363,1.24179,2.96487,0.75741,1.03142,0.0013664,0.0013664,0.0013664
34,474.846,1.10248,2.58383,0.65724,0.97505,0.75655,0.54631,0.63156,0.38614,0.67395,0.43683,0.49413,0.23136,1.26293,3.02939,0.76666,1.03789,0.0013466,0.0013466,0.0013466
35,488.6,1.11137,2.59478,0.66656,0.98025,0.7675,0.54133,0.63147,0.38729,0.64204,0.40619,0.47218,0.227,1.23946,2.99179,0.76636,1.02713,0.0013268,0.0013268,0.0013268
36,502.232,1.10521,2.5889,0.65837,0.97641,0.7667,0.54861,0.63212,0.39074,0.68928,0.43472,0.49967,0.23796,1.22411,2.98739,0.76235,1.02598,0.001307,0.001307,0.001307
37,516.636,1.09636,2.58229,0.65612,0.9752,0.7798,0.54816,0.64125,0.39657,0.67378,0.39755,0.46444,0.2269,1.21415,3.01765,0.7401,1.01685,0.0012872,0.0012872,0.0012872
38,530.114,1.10617,2.58558,0.65787,0.97476,0.80067,0.54088,0.63111,0.39353,0.70327,0.43895,0.50035,0.24026,1.22233,2.966,0.7636,1.0263,0.0012674,0.0012674,0.0012674
39,543.599,1.0973,2.5765,0.65418,0.97638,0.78682,0.54679,0.64334,0.39977,0.66117,0.43865,0.50143,0.2485,1.22322,3.03184,0.76452,1.01827,0.0012476,0.0012476,0.0012476
