epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.8209,0.72737,0.52345,1.09491,0.93592,0.89189,0.9128,0.73003,0.72381,0.54527,0.91925,0.0011882,0.0011882,0.0011882
43,67.3218,0.73422,0.51606,1.08762,0.94224,0.94595,0.965,0.74642,0.78126,0.53017,0.92879,0.0011684,0.0011684,0.0011684
44,68.8554,0.67547,0.48366,1.04639,1,0.97003,0.97638,0.77201,0.63401,0.47589,0.84554,0.0011486,0.0011486,0.0011486
45,70.3618,0.71235,0.50631,1.09185,0.94685,0.96319,0.9689,0.73206,0.79281,0.61811,0.92109,0.0011288,0.0011288,0.0011288
46,71.8917,0.69399,0.51224,1.07486,0.94724,0.97056,0.97917,0.77703,0.67323,0.44055,0.90418,0.001109,0.001109,0.001109
47,73.4069,0.70307,0.49138,1.07512,0.96905,0.91892,0.95736,0.68053,0.97777,0.66018,1.12458,0.0010892,0.0010892,0.0010892
48,74.908,0.68405,0.48485,1.07905,0.89724,0.94395,0.95781,0.68409,0.8712,0.71105,0.97956,0.0010694,0.0010694,0.0010694
49,76.4258,0.68654,0.49212,1.06268,0.94566,0.9408,0.94951,0.74088,0.74138,0.56832,0.87585,0.0010496,0.0010496,0.0010496
50,77.9235,0.65908,0.47406,1.05202,0.98369,0.97297,0.97623,0.78115,0.65778,0.38513,0.8957,0.0010298,0.0010298,0.0010298
51,79.4639,0.65415,0.46218,1.04727,0.9682,0.97297,0.97484,0.73481,0.7962,0.47623,0.94349,0.00101,0.00101,0.00101
52,80.9938,0.67338,0.46293,1.05983,0.96961,0.86236,0.94885,0.7405,0.7465,0.49514,0.88459,0.0009902,0.0009902,0.0009902
53,82.4903,0.64946,0.46114,1.05092,0.97125,0.91325,0.97979,0.76566,0.69547,0.40228,0.87609,0.0009704,0.0009704,0.0009704
54,83.9973,0.61578,0.43809,1.02591,0.9426,0.91892,0.9687,0.7733,0.65265,0.49801,0.83031,0.0009506,0.0009506,0.0009506
55,85.537,0.63779,0.46857,1.03935,0.89739,0.94551,0.94407,0.73296,0.74387,0.45425,0.97723,0.0009308,0.0009308,0.0009308
56,87.049,0.60339,0.42263,1.03059,0.94819,0.97297,0.97482,0.78019,0.73708,0.53161,1.00011,0.000911,0.000911,0.000911
57,88.5884,0.64232,0.45777,1.04625,0.994,0.94595,0.97438,0.74636,0.76973,0.49393,0.92352,0.0008912,0.0008912,0.0008912
58,90.1016,0.63678,0.43892,1.05002,0.9469,0.96406,0.97705,0.79578,0.62805,0.45568,0.84768,0.0008714,0.0008714,0.0008714
59,91.6312,0.62094,0.43259,1.04746,0.94251,0.94595,0.96889,0.73138,0.7042,0.50481,0.8917,0.0008516,0.0008516,0.0008516
60,93.1623,0.62793,0.42807,1.04319,0.97126,0.94595,0.94378,0.71551,0.73559,0.52915,0.8656,0.0008318,0.0008318,0.0008318
61,94.6893,0.63761,0.44758,1.03184,0.93944,0.91892,0.96186,0.73805,0.76908,0.52605,0.93458,0.000812,0.000812,0.000812
