epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,306.003,0.51313,0.72596,0.32657,0.98579,0.97862,0.97107,0.98942,0.93248,0.97557,0.96804,0.9886,0.91235,0.37497,0.58979,0.30127,0.86619,0.0014258,0.0014258,0.0014258
31,316.115,0.49775,0.70406,0.31894,0.9754,0.9863,0.98173,0.98957,0.9218,0.98172,0.97642,0.98818,0.89818,0.39821,0.64299,0.26425,0.892,0.001406,0.001406,0.001406
32,326.327,0.49912,0.705,0.31756,0.97885,0.98727,0.98939,0.99034,0.92738,0.98425,0.98636,0.9898,0.9163,0.36512,0.59245,0.28091,0.85717,0.0013862,0.0013862,0.0013862
33,336.52,0.49303,0.71257,0.31307,0.97362,0.98791,0.99047,0.99234,0.92243,0.98489,0.98744,0.99201,0.86984,0.45719,0.60585,0.30414,0.91653,0.0013664,0.0013664,0.0013664
34,346.55,0.50486,0.72739,0.31742,0.98115,0.9939,0.98674,0.99024,0.93058,0.98785,0.98525,0.98801,0.89789,0.41289,0.60771,0.25589,0.89509,0.0013466,0.0013466,0.0013466
35,356.682,0.49799,0.70099,0.31073,0.97902,0.98939,0.98927,0.99029,0.91745,0.98485,0.98472,0.98716,0.89811,0.3794,0.61339,0.30681,0.88643,0.0013268,0.0013268,0.0013268
36,367.005,0.49214,0.70294,0.31302,0.97207,0.98333,0.98485,0.98952,0.91915,0.9803,0.98182,0.98817,0.89649,0.39675,0.61679,0.29617,0.89306,0.001307,0.001307,0.001307
37,377.139,0.50067,0.71753,0.31764,0.97929,0.98344,0.98951,0.9908,0.93543,0.98193,0.988,0.98837,0.90756,0.38351,0.60203,0.25783,0.87028,0.0012872,0.0012872,0.0012872
38,387.33,0.49935,0.71298,0.31203,0.98268,0.98497,0.99309,0.98938,0.91978,0.98347,0.99158,0.98789,0.89725,0.41174,0.60419,0.31681,0.89589,0.0012674,0.0012674,0.0012674
39,397.649,0.48898,0.69284,0.30706,0.97258,0.99193,0.98636,0.99106,0.93649,0.99028,0.98485,0.98976,0.91109,0.33758,0.57635,0.2459,0.84183,0.0012476,0.0012476,0.0012476
40,408.056,0.49399,0.70146,0.3111,0.97642,0.98188,0.98939,0.98867,0.92445,0.98038,0.98788,0.98673,0.89844,0.37226,0.60951,0.25484,0.87265,0.0012278,0.0012278,0.0012278
41,418.164,0.48561,0.69566,0.30565,0.97193,0.991,0.99242,0.99054,0.94187,0.98797,0.98939,0.99041,0.91753,0.33906,0.56447,0.23656,0.83624,0.001208,0.001208,0.001208
42,428.202,0.48244,0.68284,0.30739,0.96906,0.98794,0.9928,0.99001,0.9295,0.98341,0.98826,0.98931,0.9123,0.36235,0.5727,0.2515,0.85297,0.0011882,0.0011882,0.0011882
43,438.332,0.48027,0.68413,0.29851,0.96853,0.99329,0.99242,0.99151,0.93407,0.99026,0.98939,0.98824,0.90905,0.3827,0.60085,0.25757,0.87975,0.0011684,0.0011684,0.0011684
44,448.42,0.4758,0.68615,0.29737,0.96485,0.98289,0.98788,0.98854,0.92798,0.98133,0.98636,0.98839,0.89602,0.36543,0.6191,0.26245,0.85138,0.0011486,0.0011486,0.0011486
45,458.447,0.47314,0.6729,0.29753,0.96727,0.98032,0.99242,0.98961,0.93159,0.97583,0.98788,0.98743,0.9072,0.3575,0.59607,0.25295,0.84742,0.0011288,0.0011288,0.0011288
46,468.619,0.48317,0.67282,0.29856,0.97016,0.98203,0.99341,0.99028,0.94012,0.98053,0.99189,0.98885,0.91608,0.32383,0.5886,0.23465,0.82941,0.001109,0.001109,0.001109
47,478.67,0.48328,0.68476,0.30219,0.96854,0.98613,0.99545,0.98986,0.9329,0.98027,0.99091,0.98809,0.91606,0.34664,0.56842,0.2546,0.84054,0.0010892,0.0010892,0.0010892
48,488.806,0.47088,0.67338,0.30423,0.96079,0.99094,0.99462,0.9904,0.9335,0.98943,0.9931,0.98892,0.92127,0.35384,0.55998,0.25893,0.86235,0.0010694,0.0010694,0.0010694
49,498.763,0.47771,0.66498,0.29178,0.9629,0.98635,0.98939,0.99035,0.9365,0.98483,0.98788,0.98884,0.92159,0.36024,0.56469,0.25924,0.85473,0.0010496,0.0010496,0.0010496
50,508.834,0.46484,0.659,0.28924,0.96252,0.99091,0.99155,0.98805,0.93927,0.98938,0.98763,0.98709,0.91686,0.33032,0.55687,0.22566,0.82665,0.0010298,0.0010298,0.0010298
51,518.784,0.47547,0.65846,0.2888,0.96215,0.99243,0.99327,0.98991,0.94126,0.98789,0.98872,0.98658,0.91666,0.33233,0.58175,0.23287,0.82882,0.00101,0.00101,0.00101
52,528.889,0.46694,0.66822,0.29182,0.96332,0.99101,0.98939,0.98902,0.9293,0.98798,0.98636,0.988,0.90806,0.35187,0.60315,0.23446,0.85576,0.0009902,0.0009902,0.0009902
53,538.966,0.47242,0.66317,0.28714,0.9621,0.98231,0.99242,0.99105,0.94243,0.98081,0.99091,0.9907,0.92463,0.32531,0.53822,0.23746,0.82405,0.0009704,0.0009704,0.0009704
54,549.062,0.47683,0.67933,0.29423,0.96456,0.98498,0.99339,0.99138,0.93852,0.98047,0.98885,0.9899,0.91861,0.33482,0.57865,0.24212,0.83114,0.0009506,0.0009506,0.0009506
55,559.126,0.47044,0.66724,0.29161,0.96455,0.98939,0.98911,0.9906,0.94867,0.98712,0.98788,0.98961,0.92649,0.31489,0.57645,0.22193,0.8246,0.0009308,0.0009308,0.0009308
56,569.289,0.46999,0.65988,0.28456,0.96087,0.98964,0.99242,0.99176,0.94138,0.98506,0.98788,0.99061,0.92583,0.3343,0.54594,0.23136,0.84067,0.000911,0.000911,0.000911
57,579.589,0.45802,0.65751,0.28112,0.95831,0.98779,0.98485,0.9897,0.93203,0.97855,0.98636,0.98896,0.91409,0.34021,0.55783,0.24011,0.84875,0.0008912,0.0008912,0.0008912
58,589.625,0.45564,0.63687,0.27892,0.95667,0.99241,0.99055,0.99045,0.93952,0.98786,0.98601,0.98698,0.92268,0.32851,0.5472,0.21599,0.84134,0.0008714,0.0008714,0.0008714
59,599.724,0.46352,0.65811,0.2889,0.96212,0.98787,0.98731,0.99002,0.93936,0.98636,0.98579,0.98797,0.91792,0.33185,0.56642,0.22498,0.83606,0.0008516,0.0008516,0.0008516
60,609.915,0.46102,0.6407,0.27708,0.95772,0.9891,0.99394,0.99135,0.94451,0.98593,0.99091,0.99088,0.9286,0.3309,0.55866,0.21755,0.8309,0.0008318,0.0008318,0.0008318
61,620.274,0.45634,0.64981,0.27929,0.95997,0.98789,0.99242,0.99164,0.95222,0.98639,0.99091,0.99063,0.93576,0.31763,0.53825,0.22098,0.81994,0.000812,0.000812,0.000812
62,630.339,0.45284,0.65244,0.27238,0.95513,0.98941,0.99081,0.99338,0.94836,0.9879,0.98929,0.99312,0.93168,0.3335,0.55447,0.22114,0.82356,0.0007922,0.0007922,0.0007922
63,640.519,0.45867,0.65693,0.28512,0.95391,0.98639,0.99242,0.99057,0.93961,0.98187,0.98788,0.98964,0.92097,0.33661,0.56255,0.22583,0.83076,0.0007724,0.0007724,0.0007724
64,650.74,0.44231,0.62944,0.26764,0.95359,0.98606,0.99545,0.99091,0.94316,0.9849,0.98819,0.99003,0.92417,0.32731,0.55358,0.22427,0.82386,0.0007526,0.0007526,0.0007526
65,660.946,0.44016,0.62245,0.26754,0.94389,0.9863,0.98939,0.99054,0.94101,0.98177,0.98485,0.98855,0.92145,0.32709,0.56293,0.23326,0.83044,0.0007328,0.0007328,0.0007328
66,671.181,0.44413,0.62377,0.27153,0.94908,0.99244,0.99508,0.99272,0.95123,0.98586,0.99091,0.99172,0.93237,0.32864,0.57792,0.21094,0.82819,0.000713,0.000713,0.000713
67,681.442,0.44134,0.63019,0.26938,0.9513,0.98943,0.99302,0.9904,0.94652,0.98641,0.98999,0.98868,0.93285,0.32023,0.5474,0.22114,0.8237,0.0006932,0.0006932,0.0006932
68,691.842,0.44487,0.64018,0.26862,0.94986,0.98904,0.99394,0.99021,0.94024,0.98643,0.99131,0.99011,0.92373,0.32589,0.56467,0.21608,0.82572,0.0006734,0.0006734,0.0006734
69,702.087,0.43551,0.61862,0.2643,0.94036,0.99195,0.98788,0.99074,0.94109,0.99042,0.98636,0.98926,0.9201,0.31698,0.56759,0.21633,0.83025,0.0006536,0.0006536,0.0006536
