epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,258.233,0.49481,0.70909,0.31799,0.97827,0.98547,0.98182,0.99266,0.92123,0.97747,0.98601,0.99191,0.90231,0.39376,0.60497,0.30791,0.87486,0.0014258,0.0014258,0.0014258
31,266.827,0.48304,0.69574,0.31514,0.96921,0.96063,0.96126,0.97438,0.89559,0.94852,0.94914,0.96418,0.86374,0.40668,0.74658,0.32196,0.90794,0.001406,0.001406,0.001406
32,275.603,0.49273,0.68993,0.31811,0.97549,0.96413,0.97745,0.98774,0.90808,0.95516,0.96836,0.98538,0.86491,0.40113,0.73036,0.34009,0.89665,0.0013862,0.0013862,0.0013862
33,284.334,0.49053,0.69985,0.31243,0.97477,0.98343,0.98899,0.99039,0.89813,0.98192,0.98748,0.99036,0.90028,0.44359,0.63282,0.32099,0.93701,0.0013664,0.0013664,0.0013664
34,293.105,0.49381,0.69373,0.30743,0.97594,0.98606,0.98788,0.98923,0.92401,0.98303,0.98485,0.98798,0.9093,0.39095,0.63617,0.2841,0.88428,0.0013466,0.0013466,0.0013466
35,301.292,0.49392,0.68074,0.30668,0.97008,0.98191,0.98671,0.98884,0.92424,0.98201,0.98485,0.98735,0.90781,0.3863,0.63829,0.28738,0.8784,0.0013268,0.0013268,0.0013268
36,309.501,0.4734,0.67733,0.30383,0.96251,0.98938,0.98769,0.99362,0.90886,0.98552,0.98636,0.9926,0.89257,0.44674,0.68936,0.27472,0.95166,0.001307,0.001307,0.001307
37,317.612,0.48039,0.67863,0.30434,0.96734,0.98631,0.98217,0.98877,0.92129,0.98326,0.97914,0.98591,0.90539,0.38433,0.68824,0.2711,0.86706,0.0012872,0.0012872,0.0012872
38,325.675,0.47612,0.68473,0.29983,0.96381,0.98309,0.96866,0.97806,0.898,0.97232,0.95818,0.96982,0.86916,0.40675,0.7429,0.32979,0.90586,0.0012674,0.0012674,0.0012674
39,333.662,0.47634,0.69132,0.30135,0.96476,0.98488,0.98668,0.98818,0.93627,0.98336,0.98517,0.98692,0.90123,0.366,0.68005,0.25847,0.85844,0.0012476,0.0012476,0.0012476
40,341.683,0.48352,0.66246,0.29582,0.96354,0.98302,0.99394,0.99274,0.927,0.98153,0.99242,0.99262,0.90641,0.38851,0.61232,0.26245,0.87809,0.0012278,0.0012278,0.0012278
41,349.646,0.46792,0.66253,0.29439,0.96163,0.97892,0.98515,0.99043,0.91107,0.9663,0.98182,0.98785,0.8659,0.41218,0.63467,0.31815,0.89307,0.001208,0.001208,0.001208
42,357.624,0.47336,0.66575,0.29042,0.96518,0.98053,0.99194,0.98817,0.92058,0.97604,0.98739,0.98575,0.89022,0.41006,0.67867,0.27585,0.90729,0.0011882,0.0011882,0.0011882
43,365.645,0.47409,0.66213,0.28792,0.96267,0.98786,0.98608,0.99005,0.92884,0.98482,0.98305,0.98781,0.90509,0.37664,0.64996,0.27548,0.87771,0.0011684,0.0011684,0.0011684
44,373.693,0.46348,0.66386,0.28627,0.95814,0.98826,0.98636,0.98976,0.91617,0.98392,0.98182,0.98868,0.88367,0.41174,0.6848,0.40435,0.88948,0.0011486,0.0011486,0.0011486
45,381.704,0.46718,0.65469,0.29341,0.96046,0.98788,0.98779,0.99058,0.92471,0.98636,0.98627,0.99038,0.88224,0.40205,0.68826,0.25528,0.88071,0.0011288,0.0011288,0.0011288
46,389.701,0.46318,0.65415,0.28833,0.95834,0.99006,0.99545,0.99039,0.93615,0.98855,0.99394,0.98958,0.90925,0.36317,0.62541,0.23367,0.8768,0.001109,0.001109,0.001109
47,397.717,0.46607,0.66121,0.28258,0.9577,0.98939,0.98895,0.99166,0.92918,0.98636,0.98592,0.98956,0.9071,0.38634,0.61647,0.25433,0.8793,0.0010892,0.0010892,0.0010892
48,405.751,0.46263,0.6606,0.29126,0.95386,0.98351,0.99418,0.99303,0.9375,0.98201,0.99271,0.99182,0.91699,0.36939,0.57971,0.25958,0.86926,0.0010694,0.0010694,0.0010694
49,413.754,0.46076,0.66091,0.28455,0.95315,0.98642,0.99086,0.98856,0.91402,0.97741,0.98939,0.98508,0.89086,0.38128,0.67577,0.25006,0.8906,0.0010496,0.0010496,0.0010496
50,421.79,0.46038,0.64696,0.28406,0.953,0.98633,0.98401,0.99034,0.91272,0.98026,0.97836,0.98821,0.88952,0.44228,0.72593,0.34381,0.92875,0.0010298,0.0010298,0.0010298
51,429.812,0.46853,0.65958,0.28971,0.96323,0.98626,0.99394,0.99206,0.93744,0.98475,0.99242,0.99136,0.91803,0.35683,0.5957,0.2502,0.85371,0.00101,0.00101,0.00101
52,437.832,0.45697,0.65539,0.28864,0.95499,0.98493,0.99022,0.99313,0.94074,0.98192,0.98719,0.99259,0.9182,0.34563,0.60372,0.23131,0.84761,0.0009902,0.0009902,0.0009902
53,445.841,0.45075,0.6498,0.28056,0.95332,0.99094,0.99446,0.99331,0.92808,0.98641,0.98992,0.99227,0.91403,0.37364,0.58641,0.26959,0.87128,0.0009704,0.0009704,0.0009704
